"","Time","Cell_Type","Measurement","variable","value"
"1",0.5,"speE/pSpeG","Activity","A",0
"2",2,"speE/pSpeG","Activity","A",684.05
"3",3.5,"speE/pSpeG","Activity","A",865.87
"4",4.75,"speE/pSpeG","Activity","A",1182.33
"5",6,"speE/pSpeG","Activity","A",1033.25
"6",7.25,"speE/pSpeG","Activity","A",963.02
"7",8.5,"speE/pSpeG","Activity","A",1128.8
"8",9.75,"speE/pSpeG","Activity","A",1180.57
"9",0.5,"speE/pSpeG","OD","A",0.06
"10",2,"speE/pSpeG","OD","A",0.17
"11",3.5,"speE/pSpeG","OD","A",0.5
"12",4.75,"speE/pSpeG","OD","A",0.78
"13",6,"speE/pSpeG","OD","A",1.26
"14",7.25,"speE/pSpeG","OD","A",1.55
"15",8.5,"speE/pSpeG","OD","A",1.93
"16",9.75,"speE/pSpeG","OD","A",2.05
"17",0.5,"speE/pSpeG(Y135A)","Activity","A",219.18
"18",2,"speE/pSpeG(Y135A)","Activity","A",1816.49
"19",3.5,"speE/pSpeG(Y135A)","Activity","A",2743.07
"20",4.75,"speE/pSpeG(Y135A)","Activity","A",2137.04
"21",6,"speE/pSpeG(Y135A)","Activity","A",1322.15
"22",7.25,"speE/pSpeG(Y135A)","Activity","A",1340.58
"23",8.5,"speE/pSpeG(Y135A)","Activity","A",1458.43
"24",9.75,"speE/pSpeG(Y135A)","Activity","A",1542
"25",0.5,"speE/pSpeG(Y135A)","OD","A",0.07
"26",2,"speE/pSpeG(Y135A)","OD","A",0.27
"27",3.5,"speE/pSpeG(Y135A)","OD","A",0.71
"28",4.75,"speE/pSpeG(Y135A)","OD","A",1.14
"29",6,"speE/pSpeG(Y135A)","OD","A",1.71
"30",7.25,"speE/pSpeG(Y135A)","OD","A",2.07
"31",8.5,"speE/pSpeG(Y135A)","OD","A",2.49
"32",9.75,"speE/pSpeG(Y135A)","OD","A",2.68
"33",0.5,"speE/VC","Activity","A",-93.04
"34",2,"speE/VC","Activity","A",536.72
"35",3.5,"speE/VC","Activity","A",928.12
"36",4.75,"speE/VC","Activity","A",1794.84
"37",6,"speE/VC","Activity","A",1419.84
"38",7.25,"speE/VC","Activity","A",1357.37
"39",8.5,"speE/VC","Activity","A",1446.39
"40",9.75,"speE/VC","Activity","A",1499.51
"41",0.5,"speE/VC","OD","A",0.06
"42",2,"speE/VC","OD","A",0.21
"43",3.5,"speE/VC","OD","A",0.59
"44",4.75,"speE/VC","OD","A",0.94
"45",6,"speE/VC","OD","A",1.43
"46",7.25,"speE/VC","OD","A",1.81
"47",8.5,"speE/VC","OD","A",2.17
"48",9.75,"speE/VC","OD","A",2.34
"49",0.5,"speE/pSpeG","Activity","B",-45.63
"50",2,"speE/pSpeG","Activity","B",419.19
"51",3.5,"speE/pSpeG","Activity","B",668.61
"52",4.75,"speE/pSpeG","Activity","B",798.46
"53",6,"speE/pSpeG","Activity","B",955.79
"54",7.25,"speE/pSpeG","Activity","B",760.03
"55",8.5,"speE/pSpeG","Activity","B",965.14
"56",9.75,"speE/pSpeG","Activity","B",1028.53
"57",0.5,"speE/pSpeG","OD","B",0.06
"58",2,"speE/pSpeG","OD","B",0.15
"59",3.5,"speE/pSpeG","OD","B",0.41
"60",4.75,"speE/pSpeG","OD","B",0.75
"61",6,"speE/pSpeG","OD","B",1.07
"62",7.25,"speE/pSpeG","OD","B",1.46
"63",8.5,"speE/pSpeG","OD","B",1.91
"64",9.75,"speE/pSpeG","OD","B",2.02
"65",0.5,"speE/pSpeG(Y135A)","Activity","B",105.46
"66",2,"speE/pSpeG(Y135A)","Activity","B",567.65
"67",3.5,"speE/pSpeG(Y135A)","Activity","B",1288.62
"68",4.75,"speE/pSpeG(Y135A)","Activity","B",1562.69
"69",6,"speE/pSpeG(Y135A)","Activity","B",1382.59
"70",7.25,"speE/pSpeG(Y135A)","Activity","B",1035.3
"71",8.5,"speE/pSpeG(Y135A)","Activity","B",1190.95
"72",9.75,"speE/pSpeG(Y135A)","Activity","B",1404.23
"73",0.5,"speE/pSpeG(Y135A)","OD","B",0.06
"74",2,"speE/pSpeG(Y135A)","OD","B",0.16
"75",3.5,"speE/pSpeG(Y135A)","OD","B",0.5
"76",4.75,"speE/pSpeG(Y135A)","OD","B",0.89
"77",6,"speE/pSpeG(Y135A)","OD","B",1.37
"78",7.25,"speE/pSpeG(Y135A)","OD","B",1.9
"79",8.5,"speE/pSpeG(Y135A)","OD","B",2.35
"80",9.75,"speE/pSpeG(Y135A)","OD","B",2.56
"81",0.5,"speE/VC","Activity","B",4.52
"82",2,"speE/VC","Activity","B",353.55
"83",3.5,"speE/VC","Activity","B",673.74
"84",4.75,"speE/VC","Activity","B",1135.4
"85",6,"speE/VC","Activity","B",1130.81
"86",7.25,"speE/VC","Activity","B",1257.08
"87",8.5,"speE/VC","Activity","B",1295.94
"88",9.75,"speE/VC","Activity","B",1380.84
"89",0.5,"speE/VC","OD","B",0.07
"90",2,"speE/VC","OD","B",0.2
"91",3.5,"speE/VC","OD","B",0.58
"92",4.75,"speE/VC","OD","B",0.88
"93",6,"speE/VC","OD","B",1.43
"94",7.25,"speE/VC","OD","B",1.85
"95",8.5,"speE/VC","OD","B",2.18
"96",9.75,"speE/VC","OD","B",2.33
"97",0.5,"speE/pSpeG","Activity","C",68.44
"98",2,"speE/pSpeG","Activity","C",721.64
"99",3.5,"speE/pSpeG","Activity","C",682.07
"100",4.75,"speE/pSpeG","Activity","C",1170.11
"101",6,"speE/pSpeG","Activity","C",1037.99
"102",7.25,"speE/pSpeG","Activity","C",866.84
"103",8.5,"speE/pSpeG","Activity","C",1002.1
"104",9.75,"speE/pSpeG","Activity","C",1137.9
"105",0.5,"speE/pSpeG","OD","C",0.09
"106",2,"speE/pSpeG","OD","C",0.23
"107",3.5,"speE/pSpeG","OD","C",0.49
"108",4.75,"speE/pSpeG","OD","C",0.79
"109",6,"speE/pSpeG","OD","C",1.16
"110",7.25,"speE/pSpeG","OD","C",1.54
"111",8.5,"speE/pSpeG","OD","C",1.94
"112",9.75,"speE/pSpeG","OD","C",2.11
"113",0.5,"speE/pSpeG(Y135A)","Activity","C",-21.92
"114",2,"speE/pSpeG(Y135A)","Activity","C",593.31
"115",3.5,"speE/pSpeG(Y135A)","Activity","C",1610.7
"116",4.75,"speE/pSpeG(Y135A)","Activity","C",1835.37
"117",6,"speE/pSpeG(Y135A)","Activity","C",1435.14
"118",7.25,"speE/pSpeG(Y135A)","Activity","C",1264.92
"119",8.5,"speE/pSpeG(Y135A)","Activity","C",1394.83
"120",9.75,"speE/pSpeG(Y135A)","Activity","C",1467.73
"121",0.5,"speE/pSpeG(Y135A)","OD","C",0.06
"122",2,"speE/pSpeG(Y135A)","OD","C",0.17
"123",3.5,"speE/pSpeG(Y135A)","OD","C",0.52
"124",4.75,"speE/pSpeG(Y135A)","OD","C",0.83
"125",6,"speE/pSpeG(Y135A)","OD","C",1.4
"126",7.25,"speE/pSpeG(Y135A)","OD","C",1.78
"127",8.5,"speE/pSpeG(Y135A)","OD","C",2.22
"128",9.75,"speE/pSpeG(Y135A)","OD","C",2.36
"129",0.5,"speE/VC","Activity","C",-48.74
"130",2,"speE/VC","Activity","C",776.99
"131",3.5,"speE/VC","Activity","C",990.73
"132",4.75,"speE/VC","Activity","C",1174.99
"133",6,"speE/VC","Activity","C",1060.32
"134",7.25,"speE/VC","Activity","C",1117.61
"135",8.5,"speE/VC","Activity","C",1218.72
"136",9.75,"speE/VC","Activity","C",1334.8
"137",0.5,"speE/VC","OD","C",0.07
"138",2,"speE/VC","OD","C",0.13
