Time,Cell_Type,Activity,OD
0.166666667,WT/pSpeG,-137.3,0.0585
0.166666667,WT/pSpeG,-101.3,0.0595
0.166666667,WT/pSpeG,-112.3,0.0606
1.5,WT/pSpeG,561.6,0.1997
1.5,WT/pSpeG,681.3,0.2101
1.5,WT/pSpeG,690,0.2147
2.5,WT/pSpeG,1066,0.4339
2.5,WT/pSpeG,1109.3,0.4816
2.5,WT/pSpeG,968.3,0.4831
3.5,WT/pSpeG,909.6,0.761
3.5,WT/pSpeG,909.6,0.8011
3.5,WT/pSpeG,893.6,0.8057
4.75,WT/pSpeG,972.6,1.1943
4.75,WT/pSpeG,894.4,1.2793
4.75,WT/pSpeG,855.5,1.2608
6,WT/pSpeG,975.7,1.6346
6,WT/pSpeG,932.2,1.7354
6,WT/pSpeG,874.5,1.7562
7.25,WT/pSpeG,1413.7,1.9583
7.25,WT/pSpeG,1360.2,1.9995
7.25,WT/pSpeG,1438.2,2.0676
8.25,WT/pSpeG,1409.4,2.185
8.25,WT/pSpeG,1351.3,2.249
8.25,WT/pSpeG,1384.7,2.2595
0.166666667,WT/VC,-66.9,0.0551
0.166666667,WT/VC,-90.4,0.0581
0.166666667,WT/VC,-90.4,0.0589
1.5,WT/VC,354.8,0.1547
1.5,WT/VC,479.9,0.1871
1.5,WT/VC,546.3,0.1941
2.5,WT/VC,686.7,0.3217
2.5,WT/VC,992.1,0.4058
2.5,WT/VC,1070.8,0.4199
3.5,WT/VC,870.1,0.6016
3.5,WT/VC,902.7,0.731
3.5,WT/VC,945.6,0.7485
4.75,WT/VC,1157.1,0.9539
4.75,WT/VC,993.9,1.1515
4.75,WT/VC,1026.1,1.2645
6,WT/VC,1300.3,1.4261
6,WT/VC,1092.5,1.5487
6,WT/VC,1126.2,1.5533
7.25,WT/VC,1999.7,1.6728
7.25,WT/VC,1618,1.8725
7.25,WT/VC,1579.7,1.8969
8.25,WT/VC,2287,1.9013
8.25,WT/VC,1722.2,1.9202
8.25,WT/VC,1787.1,2.0666
