Time,Cell_Type,Activity,OD
0.166666667,speG,57.38,0.06
0.166666667,speG,10.99,0.06
0.166666667,speG,10.99,0.06
0.166666667,speG,36.1,0.06
0.166666667,speG,10.99,0.05
0.833333333,speG,507.06,0.1
0.833333333,speG,371.76,0.1
0.833333333,speG,452.81,0.1
0.833333333,speG,457.04,0.1
0.833333333,speG,351.85,0.09
1.5,speG,1221.11,0.19
1.5,speG,1098.42,0.19
1.5,speG,1262.2,0.2
1.5,speG,1277.38,0.19
1.5,speG,1119.35,0.18
2.166666667,speG,2657.36,0.37
2.166666667,speG,2251.84,0.37
2.166666667,speG,2401.98,0.38
2.166666667,speG,2189.27,0.37
2.166666667,speG,2179.31,0.35
2.833333333,speG,3131.42,0.66
2.833333333,speG,2230.46,0.66
2.833333333,speG,2103.55,0.68
2.833333333,speG,2275.7,0.67
2.833333333,speG,1941.84,0.62
3.5,speG,4184.83,0.94
3.5,speG,3310,0.92
3.5,speG,2815.23,0.98
3.5,speG,3038.97,0.92
3.5,speG,2672.02,0.9
4.166666667,speG,3918.95,1.26
4.166666667,speG,3688.37,1.24
4.166666667,speG,3127.37,1.26
4.166666667,speG,3553.75,1.25
4.166666667,speG,3118.94,1.23
4.833333333,speG,3631.55,1.58
4.833333333,speG,3368.17,1.56
4.833333333,speG,3082.67,1.57
4.833333333,speG,3258.06,1.52
4.833333333,speG,3005.03,1.51
5.6,speG,3094.47,1.83
5.6,speG,2971.68,1.86
5.6,speG,2568.86,1.86
5.6,speG,2770.77,1.83
5.6,speG,2719.95,1.79
6.6,speG,2443.9,2.08
6.6,speG,2360.44,2.05
6.6,speG,2241.36,2.2
6.6,speG,2498.07,2.01
6.6,speG,2351.42,2.01
7.6,speG,2448.32,2.18
7.6,speG,2592.77,2.17
7.6,speG,2292.34,2.15
7.6,speG,2615.52,2.16
7.6,speG,2435.01,2.14
0.166666667,WT,37.77,0.05
0.166666667,WT,86.32,0.06
0.166666667,WT,109,0.06
0.166666667,WT,10.99,0.06
0.166666667,WT,-40.13,0.06
0.833333333,WT,151.54,0.07
0.833333333,WT,183.34,0.08
0.833333333,WT,145.48,0.08
0.833333333,WT,130.72,0.07
0.833333333,WT,82.64,0.08
1.5,WT,586.59,0.13
1.5,WT,630.05,0.13
1.5,WT,648.92,0.13
1.5,WT,507.06,0.12
1.5,WT,584.23,0.14
2.166666667,WT,737.72,0.26
2.166666667,WT,809.87,0.27
2.166666667,WT,779.08,0.26
2.166666667,WT,668.19,0.26
2.166666667,WT,966.23,0.27
2.833333333,WT,1338.98,0.51
2.833333333,WT,1293.79,0.49
2.833333333,WT,1312.98,0.5
2.833333333,WT,1383.35,0.48
2.833333333,WT,1375.19,0.53
3.5,WT,2168.4,0.76
3.5,WT,1524.25,0.78
3.5,WT,1591.88,0.77
3.5,WT,1655.02,0.78
3.5,WT,1677.76,0.78
4.166666667,WT,2412.1,1.08
4.166666667,WT,2248.33,1.11
4.166666667,WT,2113.46,1.15
4.166666667,WT,2277.54,1.12
4.166666667,WT,2029.75,1.18
4.833333333,WT,2553.97,1.42
4.833333333,WT,2186.76,1.43
4.833333333,WT,2153.95,1.44
4.833333333,WT,2069.52,1.43
4.833333333,WT,2004.98,1.48
5.6,WT,2762.2,1.76
5.6,WT,2852.53,1.57
5.6,WT,3227.36,1.78
5.6,WT,3084.51,1.77
5.6,WT,2509.2,1.87
6.6,WT,3287.9,1.97
6.6,WT,2960.83,1.98
6.6,WT,3209.08,1.93
6.6,WT,2533.59,1.9
6.6,WT,1876.65,2.2
7.6,WT,2698.11,2.09
7.6,WT,2772.09,2.13
7.6,WT,2216.92,2.06
7.6,WT,2102.73,2.1
7.6,WT,1480.42,2.42
