Time,Cell_Type,Activity,OD,AcT
0.5,WT_pSpeG,-113.2,0.06,-6.792
2,WT_pSpeG,557.07,0.2,111.414
3.5,WT_pSpeG,978.92,0.58,567.7736
4.75,WT_pSpeG,1796.11,0.94,1688.3434
6,WT_pSpeG,1312.65,1.53,2008.3545
7.25,WT_pSpeG,1223.74,1.91,2337.3434
8.5,WT_pSpeG,1318.49,2.41,3177.5609
9.75,WT_pSpeG,1416.21,2.58,3653.8218
0.5,WT_pSpeG,-2.93,0.06,-0.1758
2,WT_pSpeG,630.85,0.2,126.17
3.5,WT_pSpeG,970.25,0.56,543.34
4.75,WT_pSpeG,1456.96,0.94,1369.5424
6,WT_pSpeG,1130.05,1.39,1570.7695
7.25,WT_pSpeG,1055.35,1.78,1878.523
8.5,WT_pSpeG,1189.24,2.27,2699.5748
9.75,WT_pSpeG,1368.17,2.41,3297.2897
0.5,WT_pSpeG,-113.2,0.06,-6.792
2,WT_pSpeG,670.17,0.21,140.7357
3.5,WT_pSpeG,1096.32,0.62,679.7184
4.75,WT_pSpeG,1614.86,1.01,1631.0086
6,WT_pSpeG,1216.65,1.53,1861.4745
7.25,WT_pSpeG,1248.74,1.98,2472.5052
8.5,WT_pSpeG,1270.47,2.34,2972.8998
9.75,WT_pSpeG,1452.17,2.62,3804.6854
0.5,WT_pSpeG,-2.7,0.06,-0.162
2,WT_pSpeG,820.41,0.12,98.4492
3.5,WT_pSpeG,1115.86,0.64,714.1504
4.75,WT_pSpeG,1545.95,1.04,1607.788
6,WT_pSpeG,1244.31,1.55,1928.6805
7.25,WT_pSpeG,1213.62,2.02,2451.5124
8.5,WT_pSpeG,1316.54,2.46,3238.6884
9.75,WT_pSpeG,1396.72,2.54,3547.6688
0.5,WT_pSpeG,-67.49,0.07,-4.7243
2,WT_pSpeG,476.44,0.12,57.1728
3.5,WT_pSpeG,919.42,0.66,606.8172
4.75,WT_pSpeG,1260.5,1.11,1399.155
6,WT_pSpeG,958.66,1.65,1581.789
7.25,WT_pSpeG,965.24,2.18,2104.2232
8.5,WT_pSpeG,1175.89,2.56,3010.2784
9.75,WT_pSpeG,1312.81,2.91,3820.2771
0.5,WT_pSpeG(Y135A),-147.76,0.06,-8.8656
2,WT_pSpeG(Y135A),401.32,0.18,72.2376
3.5,WT_pSpeG(Y135A),1013.81,0.58,588.0098
4.75,WT_pSpeG(Y135A),1304.94,0.95,1239.693
6,WT_pSpeG(Y135A),1190.11,1.52,1808.9672
7.25,WT_pSpeG(Y135A),1300.29,2.06,2678.5974
8.5,WT_pSpeG(Y135A),1502.45,2.47,3711.0515
9.75,WT_pSpeG(Y135A),1692.03,2.71,4585.4013
0.5,WT_pSpeG(Y135A),-85.49,0.06,-5.1294
2,WT_pSpeG(Y135A),179.41,0.14,25.1174
3.5,WT_pSpeG(Y135A),978.41,0.43,420.7163
4.75,WT_pSpeG(Y135A),1384.37,0.77,1065.9649
6,WT_pSpeG(Y135A),1234.5,1.25,1543.125
7.25,WT_pSpeG(Y135A),1221.03,1.82,2222.2746
8.5,WT_pSpeG(Y135A),1341.86,2.31,3099.6966
9.75,WT_pSpeG(Y135A),1453.17,2.56,3720.1152
0.5,WT_pSpeG(Y135A),4.52,0.05,0.226
2,WT_pSpeG(Y135A),510.64,0.17,86.8088
3.5,WT_pSpeG(Y135A),1272.3,0.55,699.765
4.75,WT_pSpeG(Y135A),1471.29,0.95,1397.7255
6,WT_pSpeG(Y135A),1312.22,1.43,1876.4746
7.25,WT_pSpeG(Y135A),1252.23,1.86,2329.1478
8.5,WT_pSpeG(Y135A),1362.73,2.41,3284.1793
9.75,WT_pSpeG(Y135A),1424.62,2.59,3689.7658
0.5,WT_pSpeG(Y135A),26.71,0.07,1.8697
2,WT_pSpeG(Y135A),676.5,0.19,128.535
3.5,WT_pSpeG(Y135A),1705.41,0.6,1023.246
4.75,WT_pSpeG(Y135A),1840.43,0.98,1803.6214
6,WT_pSpeG(Y135A),1466.44,1.55,2272.982
7.25,WT_pSpeG(Y135A),1327.22,1.99,2641.1678
8.5,WT_pSpeG(Y135A),1440.36,2.42,3485.6712
9.75,WT_pSpeG(Y135A),1539.06,2.56,3939.9936
0.5,WT_pSpeG(Y135A),-48.74,0.05,-2.437
2,WT_pSpeG(Y135A),299.53,0.12,35.9436
3.5,WT_pSpeG(Y135A),1118.54,0.41,458.6014
4.75,WT_pSpeG(Y135A),1565.18,0.77,1205.1886
6,WT_pSpeG(Y135A),1663.93,1.21,2013.3553
7.25,WT_pSpeG(Y135A),1434.43,1.75,2510.2525
8.5,WT_pSpeG(Y135A),1445.51,2.24,3237.9424
9.75,WT_pSpeG(Y135A),1488.48,2.6,3870.048
0.5,WT_VC,18.89695759,0.06,1.133817455
2,WT_VC,311.3637166,0.16,49.81819466
3.5,WT_VC,708.9200744,0.52,368.6384387
4.75,WT_VC,1377.714923,0.85,1171.057685
6,WT_VC,1466.639919,1.31,1921.298294
7.25,WT_VC,1388.085214,1.66,2304.221455
8.5,WT_VC,1444.524574,2.32,3351.297012
9.75,WT_VC,1701.416413,2.31,3930.271914
0.5,WT_VC,-79.85314364,0.05,-3.992657182
2,WT_VC,273.3309937,0.17,46.46626893
3.5,WT_VC,633.5513881,0.51,323.1112079
4.75,WT_VC,960.0487878,0.87,835.2424454
6,WT_VC,1001.361732,1.28,1281.743017
7.25,WT_VC,1033.870463,1.67,1726.563673
8.5,WT_VC,1247.081829,2.17,2706.167569
9.75,WT_VC,1239.100505,2.32,2874.713172
0.5,WT_VC,63.33180358,0.05,3.166590179
2,WT_VC,431.089611,0.14,60.35254554
3.5,WT_VC,780.1743919,0.42,327.6732446
4.75,WT_VC,1510.550418,0.76,1148.018318
6,WT_VC,1613.138551,1.12,1806.715177
7.25,WT_VC,1732.992417,1.47,2547.498853
8.5,WT_VC,2004.559331,1.95,3908.890695
9.75,WT_VC,2165.746524,2.1,4548.0677
0.5,WT_VC,109.5803168,0.06,6.574819008
2,WT_VC,784.9424554,0.23,180.5367647
3.5,WT_VC,992.9138697,0.47,466.6695188
4.75,WT_VC,2723.666095,0.84,2287.87952
6,WT_VC,2125.539606,1.21,2571.902923
7.25,WT_VC,2083.824785,1.69,3521.663887
8.5,WT_VC,2209.698085,2.19,4839.238806
9.75,WT_VC,2375.122841,2.31,5486.533763
0.5,WT_VC,19.27489674,0.07,1.349242772
2,WT_VC,541.4087791,0.27,146.1803704
3.5,WT_VC,1132.660499,0.56,634.2898794
4.75,WT_VC,1983.090338,0.96,1903.766724
6,WT_VC,1625.381442,1.56,2535.59505
7.25,WT_VC,1836.693516,1.98,3636.653162
8.5,WT_VC,1882.569364,2.22,4179.303988
9.75,WT_VC,2113.596897,2.5,5283.992243
