"","Time","Cell_Type","variable","Activity","OD"
"1",0.5,"speE/pSpeG","A",0,0.06
"2",0.5,"speE/pSpeG","B",-45.63,0.06
"3",0.5,"speE/pSpeG","C",68.44,0.09
"4",0.5,"speE/pSpeG","D",-67.07,0.06
"5",0.5,"speE/pSpeG","E",57.03,0.05
"6",0.5,"speE/pSpeG(Y135A)","A",219.18,0.07
"7",0.5,"speE/pSpeG(Y135A)","B",105.46,0.06
"8",0.5,"speE/pSpeG(Y135A)","C",-21.92,0.06
"9",0.5,"speE/pSpeG(Y135A)","D",85.99,0.07
"10",0.5,"speE/pSpeG(Y135A)","E",85.99,0.07
"11",0.5,"speE/VC","A",-93.04,0.06
"12",0.5,"speE/VC","B",4.52,0.07
"13",0.5,"speE/VC","C",-48.74,0.07
"14",0.5,"speE/VC","D",-28.55,0.06
"15",0.5,"speE/VC","E",-190.59,0.06
"16",2,"speE/pSpeG","A",684.05,0.17
"17",2,"speE/pSpeG","B",419.19,0.15
"18",2,"speE/pSpeG","C",721.64,0.23
"19",2,"speE/pSpeG","D",593.31,0.16
"20",2,"speE/pSpeG","E",458.13,0.14
"21",2,"speE/pSpeG(Y135A)","A",1816.49,0.27
"22",2,"speE/pSpeG(Y135A)","B",567.65,0.16
"23",2,"speE/pSpeG(Y135A)","C",593.31,0.17
"24",2,"speE/pSpeG(Y135A)","D",1020.96,0.23
"25",2,"speE/pSpeG(Y135A)","E",1244.53,0.24
"26",2,"speE/VC","A",536.72,0.21
"27",2,"speE/VC","B",353.55,0.2
"28",2,"speE/VC","C",776.99,0.13
"29",2,"speE/VC","D",499.99,0.21
"30",2,"speE/VC","E",458.26,0.19
"31",3.5,"speE/pSpeG","A",865.87,0.5
"32",3.5,"speE/pSpeG","B",668.61,0.41
"33",3.5,"speE/pSpeG","C",682.07,0.49
"34",3.5,"speE/pSpeG","D",656.12,0.49
"35",3.5,"speE/pSpeG","E",912.52,0.41
"36",3.5,"speE/pSpeG(Y135A)","A",2743.07,0.71
"37",3.5,"speE/pSpeG(Y135A)","B",1288.62,0.5
"38",3.5,"speE/pSpeG(Y135A)","C",1610.7,0.52
"39",3.5,"speE/pSpeG(Y135A)","D",2102.4,0.66
